roll_actual,pitch_actual,yaw_actual,roll_cmd,pitch_cmd,yaw_cmd,throttle_cmd,throttle_1,throttle_2,throttle_3,throttle_4,roll_modeled,pitch_modeled,yaw_modeled
6.3,-1.3,-5.0,4.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,595.5,50358.6,-238.9
6.4,-1.3,-5.0,4.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,600.8,50353.2,-243.7
6.4,-1.3,-5.0,4.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,606.8,50348.2,-249.4
6.4,-1.3,-5.1,4.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,614.0,50343.7,-256.2
6.4,-1.3,-5.1,4.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,622.5,50339.7,-264.4
6.4,-1.3,-5.1,4.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,632.5,50336.5,-274.2
6.4,-1.3,-5.1,4.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,644.2,50334.2,-285.7
6.4,-1.3,-5.1,4.8,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,657.4,50332.9,-298.7
6.4,-1.3,-5.1,4.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,671.1,50332.7,-312.4
6.4,-1.3,-5.1,4.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,684.4,50333.7,-325.6
6.4,-1.3,-5.1,4.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,695.9,50335.7,-337.2
6.4,-1.3,-5.1,4.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,705.3,50338.3,-346.8
6.5,-1.3,-5.1,4.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,712.7,50341.5,-354.4
6.5,-1.3,-5.1,4.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,718.4,50345.0,-360.5
6.5,-1.3,-5.1,4.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,722.9,50348.6,-365.5
6.5,-1.3,-5.1,4.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,726.5,50352.3,-369.6
6.5,-1.3,-5.1,4.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,729.3,50356.1,-373.1
6.5,-1.3,-5.1,4.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,731.5,50359.9,-376.2
6.5,-1.3,-5.1,4.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,733.3,50363.7,-379.0
6.5,-1.3,-5.2,4.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,734.7,50367.5,-381.5
6.5,-1.3,-5.2,4.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,735.7,50371.3,-383.9
6.5,-1.3,-5.2,4.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,736.5,50375.1,-386.1
6.5,-1.3,-5.2,4.9,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,737.0,50378.9,-388.2
6.5,-1.3,-5.2,5.0,-0.0,-0.0,2.0,0.3,0.3,0.3,0.3,737.3,50382.8,-390.3
